Ticker,Entry Date,Entry Price,Current Price,Shares,Current Value,PnL (%),Peak Price,ATR 14,Stop Price,Stop Buffer (%)
SIGMAADV,2026-09-11,833.7,936.7,17,15923.9,12.35,948.0,42.5,799.25,14.67
STLTECH,2026-09-11,898.75,867.1,16,13873.6,-3.52,897.4,49.7,723.45,16.57
SANSERA,2026-09-11,4136.09,4621.4,3,13864.2,11.73,4621.4,213.5,3874.15,16.17
SHREEJISPG,2026-09-21,710.56,723.75,20,14475.0,1.86,723.75,8.85,692.77,4.28
DIVISLAB,2026-09-21,9424.62,9624.0,1,9624.0,2.12,9624.0,311.5,8533.75,11.33
BODALCHEM,2026-09-21,198.01,199.53,73,14565.69,0.77,199.53,8.64,169.29,15.16
TFCILTD,2026-09-21,140.27,141.55,104,14721.2,0.91,141.55,2.13,134.1,5.27
WELSPUNLIV,2026-09-21,216.19,223.77,67,14992.59,3.5,223.77,11.99,181.8,18.75
WELCORP,2026-09-21,2766.84,2796.8,5,13984.0,1.08,2796.8,100.0,2446.8,12.51
TBZ,2026-09-21,634.65,692.45,23,15926.35,9.11,692.45,57.1,492.6,28.86
