Date,Portfolio_Value,Portfolio_Return (%),Cash,Holdings_Count,Nifty_50,Nifty_50_Return (%),Nifty_500,Nifty_500_Return (%),Nifty_Midcap_100,Nifty_Midcap_100_Return (%),Nifty_Next_50,Nifty_Next_50_Return (%),Nifty_Smallcap_100,Nifty_Smallcap_100_Return (%)
2026-09-11,149785.96,-0.14,7094.04,10,23398.1,0.0,22866.5,0.0,62197.2,0.0,72083.7,0.0,19906.3,0.0
2026-09-14,149785.96,-0.14,7094.04,10,23398.1,0.0,22866.5,0.0,62197.2,0.0,72083.7,0.0,19906.3,0.0
2026-09-15,144355.51,-3.76,7094.04,10,23118.6,-1.19,22477.45,-1.7,60878.25,-2.12,70281.15,-2.5,19422.45,-2.43
2026-09-16,144061.11,-3.96,20173.44,9,23217.6,-0.77,22532.0,-1.46,60874.2,-2.13,70368.6,-2.38,19388.3,-2.6
2026-09-17,146187.64,-2.54,20173.44,9,23270.6,-0.54,22654.65,-0.93,61432.1,-1.23,71144.0,-1.3,19535.7,-1.86
2026-09-18,146808.9,-2.13,20173.44,9,23346.4,-0.22,22840.55,-0.11,62191.25,-0.01,72025.4,-0.08,19875.7,-0.15
2026-09-21,146590.79,-2.27,9777.78,10,23429.0,0.13,22874.1,0.03,62047.95,-0.24,72164.25,0.11,19866.9,-0.2
2026-09-22,149351.7,-0.43,9777.78,10,23329.0,-0.3,22794.2,-0.32,61963.15,-0.38,71804.05,-0.39,19815.45,-0.46
2026-09-23,151728.31,1.15,9777.78,10,23446.8,0.21,22935.1,0.3,62396.45,0.32,72462.4,0.53,19991.5,0.43
2026-09-24,150056.3,0.04,9777.78,10,23063.1,-1.43,22552.6,-1.37,60990.15,-1.94,71381.45,-0.97,19684.75,-1.11
