Rank,Signal Status,Ticker,Price,Score,3M Return (%),6M Return (%),12M Return (%),Alpha 3M (%),52W High,ATR 14 (%),SMA 200
1,🟢 BUY (Top 10),CUPID,280.0,95.3026,77.6,244.62,590.68,77.6,299.0,3.09,140.53
2,🟢 BUY (Top 10),SIGMAADV,832.45,59.7459,67.49,446.59,406.36,67.49,832.45,7.21,353.8
3,🟢 BUY (Top 10),STLTECH,897.4,58.7305,56.07,342.07,680.35,56.07,897.45,8.13,350.3
4,🟢 BUY (Top 10),SWANDEF,2727.9,58.1181,38.19,16.83,421.09,38.19,2750.0,2.97,1658.93
5,🟢 BUY (Top 10),SANSERA,4129.9,53.3217,42.19,98.57,190.84,42.19,4170.0,2.44,2577.44
6,🟢 BUY (Top 10),SKYGOLD,827.4,53.0744,66.83,139.83,195.5,66.83,868.8,2.51,474.25
7,🟢 BUY (Top 10),SBC,48.33,52.0389,30.73,50.33,129.6,30.73,49.38,1.45,34.72
8,🟢 BUY (Top 10),BHAGYANGR,422.55,43.4697,36.31,167.69,374.78,36.31,432.3,5.26,254.6
9,🟢 BUY (Top 10),AIMTRON,1772.95,42.3408,40.15,131.76,144.21,40.15,1800.0,3.04,1091.08
10,🟢 BUY (Top 10),SETL,468.15,41.086,200.1,290.03,148.09,200.1,468.15,5.68,186.08
11,🟡 HOLD (Rank 11-25),WELCORP,2676.6,40.8562,91.19,220.17,202.78,91.19,2784.8,4.45,1240.9
12,🟡 HOLD (Rank 11-25),BLISSGVS,720.95,40.4885,63.33,246.61,368.76,63.33,725.9,7.1,325.81
13,🟡 HOLD (Rank 11-25),ATHERENERG,1656.0,36.56,60.0,133.24,203.8,60.0,1744.0,3.59,950.82
14,🟡 HOLD (Rank 11-25),VMARCIND,358.3,35.5791,52.47,218.49,390.49,52.47,406.0,4.9,189.87
15,🟡 HOLD (Rank 11-25),MBAPL,160.87,35.5486,42.36,71.23,97.14,42.36,174.94,1.64,110.31
16,🟡 HOLD (Rank 11-25),PAISALO,84.23,34.7224,42.4,161.5,127.65,42.4,84.6,4.19,49.07
